prediction,count,subgraph,label
E,5102,Q210272,cultural heritage
B,116,Q210272,cultural heritage
C,1414,Q65954115,State Bank of India branch
E,3081,Q65954115,State Bank of India branch
D,17969,Q65954115,State Bank of India branch
E,15826,Q13433827,encyclopedia article
C,46945,Q13433827,encyclopedia article
B,16,Q13433827,encyclopedia article
D,377650,Q13433827,encyclopedia article
C,1907,Q16510064,sporting event
E,6084,Q16510064,sporting event
D,19861,Q16510064,sporting event
E,878,Q67035425,ASTM standard
D,16418,Q67035425,ASTM standard
B,65,Q1081138,historic site
C,3206,Q1081138,historic site
D,2754,Q1081138,historic site
E,2550,Q1081138,historic site
E,2225,Q473972,protected area
C,74144,Q473972,protected area
A,3,Q473972,protected area
B,2207,Q473972,protected area
D,4866,Q473972,protected area
E,329,Q220659,archaeological artifact
D,17841,Q220659,archaeological artifact
A,2,Q220659,archaeological artifact
B,6,Q220659,archaeological artifact
C,1816,Q220659,archaeological artifact
D,2881,Q740445,ridge
B,7,Q740445,ridge
E,9188,Q740445,ridge
C,538,Q740445,ridge
B,5805,Q482994,album
C,187245,Q482994,album
D,67287,Q482994,album
E,9828,Q482994,album
A,32,Q482994,album
E,361,Q5633421,scientific journal
C,38821,Q5633421,scientific journal
D,53026,Q5633421,scientific journal
B,4712,Q5633421,scientific journal
A,5,Q5633421,scientific journal
E,5528,Q15647814,Wikimedia administration category
C,699,Q15647814,Wikimedia administration category
D,5771,Q15647814,Wikimedia administration category
C,83,Q427087,non-coding RNA
E,49,Q427087,non-coding RNA
D,35370,Q427087,non-coding RNA
B,41782,Q427087,non-coding RNA
D,96616,Q532,village
B,3978,Q532,village
A,13,Q532,village
E,14200,Q532,village
C,147322,Q532,village
E,3004,Q105543609,musical work/composition
A,9,Q105543609,musical work/composition
D,47464,Q105543609,musical work/composition
B,1317,Q105543609,musical work/composition
C,43840,Q105543609,musical work/composition
D,14280,Q106474968,ethnic group by settlement in Macedonia
E,1070194,Q4167410,Wikimedia disambiguation page
B,281,Q4167410,Wikimedia disambiguation page
D,120132,Q4167410,Wikimedia disambiguation page
C,187687,Q4167410,Wikimedia disambiguation page
D,8797,Q40080,beach
E,4763,Q40080,beach
C,1677,Q40080,beach
B,103,Q40080,beach
B,42,Q3947,house
C,24350,Q3947,house
D,162786,Q3947,house
E,14221,Q3947,house
C,5682,Q728937,railway line
D,8123,Q728937,railway line
E,387,Q728937,railway line
B,27,Q728937,railway line
A,1,Q728937,railway line
D,9085,Q46135307,nation at sport competition
C,269,Q46135307,nation at sport competition
E,2399,Q46135307,nation at sport competition
E,16,Q155076,juridical person
A,1,Q155076,juridical person
C,27,Q155076,juridical person
D,23461,Q155076,juridical person
B,1,Q155076,juridical person
D,21659,Q26895936,American football team season
E,896,Q26895936,American football team season
C,32,Q26895936,American football team season
D,5386,Q4414033,rural council of Ukraine
C,4482,Q4414033,rural council of Ukraine
E,225,Q4414033,rural council of Ukraine
B,2,Q5707594,news article
E,532,Q5707594,news article
C,128,Q5707594,news article
D,5960,Q5707594,news article
E,50450,Q17633526,Wikinews article
B,3,Q17633526,Wikinews article
C,4482,Q17633526,Wikinews article
D,232001,Q17633526,Wikinews article
B,24,Q4421,forest
D,11254,Q4421,forest
C,1709,Q4421,forest
E,8648,Q4421,forest
A,2,Q4421,forest
C,83,Q1539532,sports season of a sports club
D,16291,Q1539532,sports season of a sports club
E,2434,Q1539532,sports season of a sports club
D,90,Q50386450,operatic character
C,1115,Q50386450,operatic character
B,266,Q44613,monastery
C,3740,Q44613,monastery
E,2117,Q44613,monastery
D,6987,Q44613,monastery
A,2,Q44613,monastery
B,452,Q62447,aerodrome
C,9428,Q62447,aerodrome
A,1,Q62447,aerodrome
D,6318,Q62447,aerodrome
E,2142,Q62447,aerodrome
A,3,Q16917,hospital
B,991,Q16917,hospital
D,19529,Q16917,hospital
C,6404,Q16917,hospital
E,759,Q16917,hospital
A,10,Q21199,natural number
B,5,Q21199,natural number
D,215,Q21199,natural number
C,10156,Q21199,natural number
E,1,Q21199,natural number
A,3,Q28564,public library
E,139,Q28564,public library
D,28601,Q28564,public library
B,156,Q28564,public library
C,6586,Q28564,public library
B,127,Q355304,watercourse
D,87366,Q355304,watercourse
E,530,Q355304,watercourse
C,77660,Q355304,watercourse
E,8071,Q3305213,painting
D,396399,Q3305213,painting
C,127481,Q3305213,painting
A,34,Q3305213,painting
B,9618,Q3305213,painting
A,3,Q39614,cemetery
E,3620,Q39614,cemetery
C,10220,Q39614,cemetery
D,68579,Q39614,cemetery
B,103,Q39614,cemetery
B,4,Q820655,legislation
E,665,Q820655,legislation
D,10785,Q820655,legislation
C,15561,Q820655,legislation
D,4831,Q19692072,United States Supreme Court decision
C,502,Q19692072,United States Supreme Court decision
E,67,Q19692072,United States Supreme Court decision
C,421,Q842402,Hindu temple
B,6,Q842402,Hindu temple
E,49,Q842402,Hindu temple
D,14441,Q842402,Hindu temple
A,1,Q842402,Hindu temple
E,9160,Q735428,town in China
D,7689,Q735428,town in China
C,3363,Q735428,town in China
B,1,Q735428,town in China
E,45,Q928830,metro station
A,5,Q928830,metro station
C,10756,Q928830,metro station
B,626,Q928830,metro station
D,3644,Q928830,metro station
C,767,Q294414,public office
A,1,Q294414,public office
E,947,Q294414,public office
D,11797,Q294414,public office
B,13,Q294414,public office
E,409,Q12323,dam
C,6724,Q12323,dam
D,42252,Q12323,dam
B,60,Q12323,dam
A,12,Q16560,palace
B,287,Q16560,palace
D,4867,Q16560,palace
C,3129,Q16560,palace
E,3557,Q16560,palace
D,7754,Q820477,mine
B,9,Q820477,mine
C,1433,Q820477,mine
E,278,Q820477,mine
E,107,Q1348305,erratum
B,1355,Q1348305,erratum
C,54560,Q1348305,erratum
D,22899,Q1348305,erratum
B,349153,Q16521,taxon
D,570503,Q16521,taxon
C,2407628,Q16521,taxon
E,4432,Q16521,taxon
A,6461,Q16521,taxon
E,405,Q21191270,television series episode
C,23623,Q21191270,television series episode
B,1053,Q21191270,television series episode
D,40424,Q21191270,television series episode
D,6525,Q21198342,manga series
C,2306,Q21198342,manga series
E,4421,Q21198342,manga series
B,118,Q21198342,manga series
A,6,Q21198342,manga series
C,1124,Q783794,company
E,3326,Q783794,company
B,51,Q783794,company
D,6642,Q783794,company
A,7,Q783794,company
D,24516,Q9842,primary school
C,42625,Q9842,primary school
E,64247,Q9842,primary school
B,2,Q9842,primary school
A,1,Q9842,primary school
E,2350,Q108325,chapel
B,69,Q108325,chapel
A,1,Q108325,chapel
D,33286,Q108325,chapel
C,19992,Q108325,chapel
D,1688,Q1302249,cross-reference
C,14709,Q1302249,cross-reference
E,72,Q1302249,cross-reference
C,10585,Q811979,architectural structure
E,3645,Q811979,architectural structure
A,2,Q811979,architectural structure
B,108,Q811979,architectural structure
D,94255,Q811979,architectural structure
C,8493,Q10870555,report
E,339,Q10870555,report
D,11585,Q10870555,report
B,5,Q10870555,report
E,1,Q1260524,time of the day
D,87869,Q1260524,time of the day
C,12,Q1260524,time of the day
D,10820,Q11032,newspaper
C,23626,Q11032,newspaper
A,9,Q11032,newspaper
B,140,Q11032,newspaper
E,5194,Q11032,newspaper
E,3580,Q17524420,aspect of history
D,7458,Q17524420,aspect of history
C,1039,Q17524420,aspect of history
A,1,Q17524420,aspect of history
A,3739,Q11424,film
D,105796,Q11424,film
E,12646,Q11424,film
B,30156,Q11424,film
C,107851,Q11424,film
B,58,Q54050,hill
C,129988,Q54050,hill
E,20293,Q54050,hill
D,161708,Q54050,hill
D,2180,Q187223,lagoon
A,1,Q187223,lagoon
C,479,Q187223,lagoon
B,10,Q187223,lagoon
E,1847,Q187223,lagoon
E,626,Q174782,square
A,1,Q174782,square
B,65,Q174782,square
C,6386,Q174782,square
D,7840,Q174782,square
D,26624,Q18340514,events in a specific year or time period
E,7806,Q18340514,events in a specific year or time period
C,10609,Q18340514,events in a specific year or time period
C,53184,Q3558970,village of Poland
B,643,Q3558970,village of Poland
D,2244,Q3558970,village of Poland
E,4,Q3558970,village of Poland
A,104,Q3918,university
D,6287,Q3918,university
C,5418,Q3918,university
E,777,Q3918,university
B,1045,Q3918,university
B,3,Q18593264,item of collection or exhibition
D,128706,Q18593264,item of collection or exhibition
E,41,Q18593264,item of collection or exhibition
C,1134,Q18593264,item of collection or exhibition
E,398161,Q13442814,scholarly article
C,24539904,Q13442814,scholarly article
D,3816100,Q13442814,scholarly article
A,7,Q13442814,scholarly article
B,5168895,Q13442814,scholarly article
D,5771,Q13417114,noble family
B,8,Q13417114,noble family
C,2087,Q13417114,noble family
E,2070,Q13417114,noble family
B,422,Q23442,island
A,46,Q23442,island
E,623,Q23442,island
C,46883,Q23442,island
D,101298,Q23442,island
E,353,Q123705,neighborhood
D,14200,Q123705,neighborhood
B,137,Q123705,neighborhood
A,2,Q123705,neighborhood
C,11830,Q123705,neighborhood
B,3,Q953806,bus stop
D,11162,Q953806,bus stop
E,191,Q953806,bus stop
C,240,Q953806,bus stop
B,11099,Q27671617,finite cell line
C,54,Q27671617,finite cell line
B,1,Q7321974,cairn
E,145,Q7321974,cairn
C,47,Q7321974,cairn
D,940,Q7321974,cairn
C,13959,Q43229,organization
E,8680,Q43229,organization
B,454,Q43229,organization
D,54764,Q43229,organization
A,32,Q43229,organization
C,80941,Q815382,meta-analysis
D,1330,Q815382,meta-analysis
E,45,Q815382,meta-analysis
B,27377,Q815382,meta-analysis
B,16,Q212198,pub
D,4137,Q212198,pub
C,10813,Q212198,pub
E,47,Q212198,pub
E,3145,Q2334719,legal case
C,125,Q2334719,legal case
D,3793,Q2334719,legal case
E,13084,Q482,poetry
D,3083,Q482,poetry
B,2,Q482,poetry
C,163,Q482,poetry
E,1,Q814254,feature
C,10702,Q814254,feature
D,65,Q814254,feature
C,4600,Q24354,theatre
D,6331,Q24354,theatre
E,401,Q24354,theatre
B,481,Q24354,theatre
A,3,Q24354,theatre
C,23,Q452237,motion
D,76702,Q452237,motion
E,3,Q452237,motion
C,616,Q20541692,"settlement in Galicia, Spain"
D,8617,Q20541692,"settlement in Galicia, Spain"
B,2,Q20541692,"settlement in Galicia, Spain"
E,242,Q20541692,"settlement in Galicia, Spain"
B,47,Q19860854,destroyed building or structure
D,20219,Q19860854,destroyed building or structure
C,1136,Q19860854,destroyed building or structure
A,2,Q19860854,destroyed building or structure
E,253,Q19860854,destroyed building or structure
B,47875,Q27555384,transformed cell line
C,109,Q27555384,transformed cell line
C,678,Q207524,islet
D,6755,Q207524,islet
B,5,Q207524,islet
E,9446,Q207524,islet
E,214,Q5358913,elementary school in Japan
C,527,Q5358913,elementary school in Japan
D,17669,Q5358913,elementary school in Japan
B,1,Q5358913,elementary school in Japan
C,58,Q2341654,stone setting
D,58424,Q2341654,stone setting
D,432,Q42195,petroglyph
E,25,Q42195,petroglyph
C,80,Q42195,petroglyph
C,216,Q46686,reredos
D,4022,Q46686,reredos
E,19,Q46686,reredos
B,35,Q46686,reredos
E,1,Q420927,protein complex
C,9,Q420927,protein complex
D,13145,Q420927,protein complex
A,2,Q420927,protein complex
B,1,Q420927,protein complex
B,2,Q65661087,village in Belarus
C,9326,Q65661087,village in Belarus
E,4090,Q65661087,village in Belarus
D,3194,Q65661087,village in Belarus
C,1905,Q30612,clinical trial
E,8,Q30612,clinical trial
D,354786,Q30612,clinical trial
B,35,Q30612,clinical trial
B,389,Q41253,movie theater
A,1,Q41253,movie theater
D,48817,Q41253,movie theater
C,3640,Q41253,movie theater
E,151,Q41253,movie theater
C,18518,Q476028,association football club
B,177,Q476028,association football club
E,460,Q476028,association football club
A,64,Q476028,association football club
D,17028,Q476028,association football club
B,1367,Q5084,hamlet
E,1858,Q5084,hamlet
C,33401,Q5084,hamlet
A,2,Q5084,hamlet
D,57514,Q5084,hamlet
C,5341,Q34770,language
A,174,Q34770,language
E,325,Q34770,language
D,1571,Q34770,language
B,2047,Q34770,language
D,8717,Q751876,château
E,10135,Q751876,château
B,203,Q751876,château
C,5851,Q751876,château
A,7,Q751876,château
C,2880,Q847017,sports club
E,3954,Q847017,sports club
B,18,Q847017,sports club
D,15033,Q847017,sports club
A,6,Q847017,sports club
E,1212,Q35509,cave
D,11473,Q35509,cave
C,1846,Q35509,cave
A,1,Q35509,cave
B,47,Q35509,cave
C,22355,Q1195098,ward
D,3380,Q1195098,ward
E,323,Q1195098,ward
C,449,Q187685,doctoral thesis
E,134,Q187685,doctoral thesis
B,191,Q187685,doctoral thesis
D,21132,Q187685,doctoral thesis
A,1,Q47521,stream
D,29482,Q47521,stream
C,7454,Q47521,stream
E,15769,Q47521,stream
B,257,Q47521,stream
E,791070,Q11266439,Wikimedia template
C,10830,Q11266439,Wikimedia template
B,27,Q11266439,Wikimedia template
D,48347,Q11266439,Wikimedia template
D,8777,Q24046192,Wikimedia category of stubs
C,641,Q24046192,Wikimedia category of stubs
E,63,Q24046192,Wikimedia category of stubs
C,16426,Q2116450,manor estate
E,49,Q2116450,manor estate
D,2741,Q2116450,manor estate
C,53240,Q19389637,biographical article
D,105556,Q19389637,biographical article
E,3135,Q19389637,biographical article
D,7462,Q2042028,ravine
C,851,Q2042028,ravine
E,555,Q2042028,ravine
A,1,Q39816,valley
C,3957,Q39816,valley
D,33660,Q39816,valley
B,25,Q39816,valley
E,29246,Q39816,valley
C,6856,Q4989906,monument
D,16959,Q4989906,monument
A,3,Q4989906,monument
E,1666,Q4989906,monument
B,1142,Q4989906,monument
E,26105,Q1681353,bog
D,1094,Q1681353,bog
B,3,Q1681353,bog
C,215,Q1681353,bog
E,3,Q12317349,main library
A,1,Q12317349,main library
C,462,Q12317349,main library
B,125,Q12317349,main library
D,12904,Q12317349,main library
D,31739,Q23925393,Douar
C,270,Q23925393,Douar
B,12712,Q107103143,Induced pluripotent stem cell line
C,18,Q107103143,Induced pluripotent stem cell line
C,86393,Q16970,church building
E,17467,Q16970,church building
A,3,Q16970,church building
B,1788,Q16970,church building
D,104927,Q16970,church building
A,4,Q17343829,unincorporated community in the United States
C,25385,Q17343829,unincorporated community in the United States
E,34,Q17343829,unincorporated community in the United States
B,1817,Q17343829,unincorporated community in the United States
D,11666,Q17343829,unincorporated community in the United States
E,47642,Q13100073,village-level division in China
C,986,Q13100073,village-level division in China
D,36999,Q13100073,village-level division in China
C,4449,Q11755880,residential building
D,7246,Q11755880,residential building
E,117,Q11755880,residential building
B,30,Q11755880,residential building
A,2,Q5185279,poem
B,4,Q5185279,poem
D,86244,Q5185279,poem
C,2081,Q5185279,poem
E,16234,Q5185279,poem
D,16795,Q1577547,revenue house
E,31,Q1577547,revenue house
C,1718,Q1577547,revenue house
E,291,Q26703203,stumbling stone
C,3999,Q26703203,stumbling stone
D,12055,Q26703203,stumbling stone
B,1,Q26703203,stumbling stone
E,204,Q737498,academic journal
D,3214,Q737498,academic journal
A,3,Q737498,academic journal
C,17327,Q737498,academic journal
B,1385,Q737498,academic journal
E,67422,Q1580166,dictionary entry
C,336,Q1580166,dictionary entry
D,2591,Q1580166,dictionary entry
E,2097,Q13406554,sports competition
C,1516,Q13406554,sports competition
D,9939,Q13406554,sports competition
B,1,Q1303167,barn
D,15855,Q1303167,barn
E,247,Q1303167,barn
C,3799,Q1303167,barn
C,346,Q235557,file format
B,38,Q235557,file format
D,11638,Q235557,file format
E,37,Q235557,file format
A,5,Q235557,file format
E,212,Q23894233,Wikimedia templates category
C,1322,Q23894233,Wikimedia templates category
D,13153,Q23894233,Wikimedia templates category
C,3558,Q634099,rural settlement of Russia
D,14993,Q634099,rural settlement of Russia
B,7,Q634099,rural settlement of Russia
E,202,Q634099,rural settlement of Russia
D,7967,Q15221623,bilateral relation
C,3355,Q15221623,bilateral relation
E,3962,Q15221623,bilateral relation
B,5,Q15221623,bilateral relation
D,9928,Q12280,bridge
E,694,Q12280,bridge
B,72,Q12280,bridge
C,14017,Q12280,bridge
C,9597,Q1504425,systematic review
D,8,Q1504425,systematic review
B,2415,Q1504425,systematic review
D,13777,Q6451276,Congressional Research Service report
D,11606,Q97695005,committee group motion
C,26,Q97695005,committee group motion
D,9638,Q14350,radio station
B,32,Q14350,radio station
E,1015,Q14350,radio station
A,7,Q14350,radio station
C,15180,Q14350,radio station
D,58714,Q57733494,badminton event
B,5,Q57733494,badminton event
C,2311,Q57733494,badminton event
E,6814,Q2231510,col
D,3927,Q2231510,col
C,242,Q2231510,col
D,9988,Q102496,parish
C,403,Q102496,parish
E,1624,Q102496,parish
B,4378,Q179049,nature reserve
E,286,Q179049,nature reserve
A,1,Q179049,nature reserve
C,2305,Q179049,nature reserve
D,2920,Q179049,nature reserve
A,17,Q8502,mountain
C,315073,Q8502,mountain
E,7531,Q8502,mountain
B,2356,Q8502,mountain
D,175874,Q8502,mountain
E,13117,Q6503489,Law of the Republic of China
D,102,Q6503489,Law of the Republic of China
C,8,Q6503489,Law of the Republic of China
C,1576,Q2309609,wayside cross
D,17958,Q2309609,wayside cross
E,321,Q2309609,wayside cross
B,113,Q2996394,biological process
D,41176,Q2996394,biological process
A,12,Q2996394,biological process
E,48,Q2996394,biological process
C,487,Q2996394,biological process
E,2299,Q34763,peninsula
D,18509,Q34763,peninsula
A,7,Q34763,peninsula
C,4619,Q34763,peninsula
B,58,Q34763,peninsula
D,4580,Q21573182,Naturdenkmal in Germany
C,579,Q21573182,Naturdenkmal in Germany
E,88,Q21573182,Naturdenkmal in Germany
C,11383,Q59541917,Wikimedia topic category
E,16,Q59541917,Wikimedia topic category
D,2094,Q59541917,Wikimedia topic category
C,383,Q23058136,cancer cell line
B,27852,Q23058136,cancer cell line
D,1910,Q67383935,co-educational school
E,71794,Q67383935,co-educational school
C,46,Q67383935,co-educational school
D,15560,Q106006703,local regulations of the People's Republic of China
E,5,Q106006703,local regulations of the People's Republic of China
C,4,Q106006703,local regulations of the People's Republic of China
C,34,Q61443650,sub post office
E,23440,Q61443650,sub post office
D,1287,Q61443650,sub post office
C,129,Q1238720,volume
E,10862,Q1238720,volume
D,1001,Q1238720,volume
E,29,Q56428020,Wikimedia lists category
D,10623,Q56428020,Wikimedia lists category
C,2281,Q56428020,Wikimedia lists category
C,1991,Q67015883,group or class of enzymes
D,8824,Q67015883,group or class of enzymes
A,1,Q67015883,group or class of enzymes
B,85,Q67015883,group or class of enzymes
E,3,Q67015883,group or class of enzymes
C,307,Q14659,coat of arms
D,6612,Q14659,coat of arms
E,2388,Q14659,coat of arms
B,197,Q11879590,female given name
A,7,Q11879590,female given name
C,12591,Q11879590,female given name
E,759,Q11879590,female given name
D,10003,Q11879590,female given name
D,40701,Q179700,statue
C,2566,Q179700,statue
B,47,Q179700,statue
A,4,Q179700,statue
E,755,Q179700,statue
C,1472,Q575759,war memorial
B,12,Q575759,war memorial
D,13796,Q575759,war memorial
E,1031,Q575759,war memorial
C,2915,Q726,horse
B,9,Q726,horse
D,9521,Q726,horse
E,929,Q726,horse
E,4215,Q159334,secondary school
C,5827,Q159334,secondary school
B,8,Q159334,secondary school
D,6856,Q159334,secondary school
D,12325,Q41298,magazine
B,282,Q41298,magazine
A,9,Q41298,magazine
E,9167,Q41298,magazine
C,3988,Q41298,magazine
D,2837,Q61443690,branch post office
E,125802,Q61443690,branch post office
C,539,Q61443690,branch post office
D,12560,Q202444,given name
E,4096,Q202444,given name
A,1,Q202444,given name
B,15,Q202444,given name
C,3548,Q202444,given name
C,1,Q3508250,Syndicat intercommunal
E,14210,Q3508250,Syndicat intercommunal
D,121,Q3508250,Syndicat intercommunal
C,960,Q7777570,theatrical production
D,1284,Q7777570,theatrical production
E,44,Q7777570,theatrical production
B,1,Q7777570,theatrical production
A,135,Q3957,town
D,2095,Q3957,town
C,9939,Q3957,town
E,150,Q3957,town
B,1949,Q3957,town
E,90,Q47150325,calendar day of a given year
C,6407,Q47150325,calendar day of a given year
D,182860,Q47150325,calendar day of a given year
C,4001,Q169930,extended play
E,447,Q169930,extended play
B,55,Q169930,extended play
D,7939,Q169930,extended play
D,12215,Q18918145,academic journal article
C,6977,Q18918145,academic journal article
E,3054,Q18918145,academic journal article
B,20,Q18918145,academic journal article
C,7,Q459297,qanat
E,13541,Q459297,qanat
D,48,Q459297,qanat
D,34269,Q99045339,written question
C,7,Q99045339,written question
D,3021,Q2732840,Gram panchayat
E,50,Q2732840,Gram panchayat
C,952,Q2732840,Gram panchayat
B,5,Q2732840,Gram panchayat
C,15,Q50231,administrative territorial entity of the People's Republic of China
D,320,Q50231,administrative territorial entity of the People's Republic of China
E,181,Q50231,administrative territorial entity of the People's Republic of China
D,83307,Q7604686,UK Statutory Instrument
C,5439,Q7604686,UK Statutory Instrument
C,498,Q160091,plain
D,6327,Q160091,plain
E,3495,Q160091,plain
B,9,Q160091,plain
D,17121,Q7604693,Statutory Rules of Northern Ireland
D,33420,Q100532807,Irish Statutory Instrument
