a,b,from_a2b,from_b2a,common_preds,common_items,a_item%,b_item%
scholarly article,scholarly article,20374824.0,20374824.0,inf,inf,100.0,100.0
human,human,5484911.0,5484911.0,inf,inf,100.0,100.0
Wikimedia category,Wikimedia category,4839191.0,4839191.0,inf,inf,100.0,100.0
taxon,taxon,2432024.0,2432024.0,inf,inf,100.0,100.0
scholarly article,human,1813767.0,3869.0,525.0,6.0,0.0,0.0
Wikimedia disambiguation page,Wikimedia disambiguation page,1361143.0,1361143.0,inf,inf,100.0,100.0
protein,gene,938854.0,937527.0,170.0,12.0,0.0,0.0
Wikimedia template,Wikimedia template,844472.0,844472.0,inf,inf,100.0,100.0
astronomical object,astronomical object,567288.0,567288.0,inf,inf,100.0,100.0
human settlement,human settlement,517033.0,517033.0,inf,inf,100.0,100.0
mountain,mountain,511433.0,511433.0,inf,inf,100.0,100.0
river,river,393790.0,393790.0,inf,inf,100.0,100.0
encyclopedia article,encyclopedia article,386084.0,386084.0,inf,inf,100.0,100.0
Wikimedia list article,Wikimedia list article,334727.0,334727.0,inf,inf,100.0,100.0
human,family name,321203.0,163.0,315.0,14.0,0.0,0.0
hill,hill,312558.0,312558.0,inf,inf,100.0,100.0
Wikinews article,Wikinews article,286959.0,286959.0,inf,inf,100.0,100.0
album,album,265649.0,265649.0,inf,inf,100.0,100.0
village,village,261371.0,261371.0,inf,inf,100.0,100.0
gene,gene,242673.0,242673.0,inf,inf,100.0,100.0
film,film,239033.0,239033.0,inf,inf,100.0,100.0
lake,lake,233984.0,233984.0,inf,inf,100.0,100.0
film,human,229953.0,13087.0,732.0,26.0,0.01,0.0
calendar day of a given year,calendar day of a given year,189363.0,189363.0,inf,inf,100.0,100.0
watercourse,watercourse,174349.0,174349.0,inf,inf,100.0,100.0
scholarly article,chemical compound,173924.0,136.0,237.0,4.0,0.0,0.0
church building,church building,160597.0,160597.0,inf,inf,100.0,100.0
sports season,sports season,158571.0,158571.0,inf,inf,100.0,100.0
Wikimedia category,taxon,156468.0,156440.0,259.0,4.0,0.0,0.0
biographical article,biographical article,151857.0,151857.0,inf,inf,100.0,100.0
island,island,147736.0,147736.0,inf,inf,100.0,100.0
family name,family name,142403.0,142403.0,inf,inf,100.0,100.0
literary work,literary work,135498.0,135498.0,inf,inf,100.0,100.0
business,business,132634.0,132634.0,inf,inf,100.0,100.0
Wikimedia disambiguation page,family name,131914.0,127352.0,259.0,810.0,0.06,0.17
prime number,prime number,127504.0,127504.0,inf,inf,100.0,100.0
stream,stream,124009.0,124009.0,inf,inf,100.0,100.0
street,street,115482.0,115482.0,inf,inf,100.0,100.0
hamlet,hamlet,112591.0,112591.0,inf,inf,100.0,100.0
scholarly article,group of stereoisomers,99653.0,16.0,130.0,0.0,0.0,0.0
village in India,village in India,97851.0,97851.0,inf,inf,100.0,100.0
human,position,95977.0,8917.0,574.0,2.0,0.0,0.0
human,biographical article,93354.0,90510.0,128.0,2.0,0.0,0.0
scholarly article,protein,91295.0,3003.0,153.0,0.0,0.0,0.0
human,encyclopedia article,82422.0,65440.0,151.0,2.0,0.0,0.0
scholarly article,taxon,81387.0,374.0,324.0,10.0,0.0,0.0
building,building,73461.0,73461.0,inf,inf,100.0,100.0
painting,human,67004.0,15820.0,579.0,10.0,0.0,0.0
house,house,57060.0,57060.0,inf,inf,100.0,100.0
Wikimedia category,human,55144.0,44306.0,493.0,18.0,0.0,0.0
"version, edition, or translation","version, edition, or translation",52245.0,52245.0,inf,inf,100.0,100.0
literary work,human,47862.0,14042.0,862.0,2.0,0.0,0.0
taxon,human,45293.0,794.0,529.0,4.0,0.0,0.0
scholarly article,cell line,44442.0,19405.0,48.0,0.0,0.0,0.0
Wikimedia list article,Wikimedia category,38805.0,38535.0,445.0,66.0,0.02,0.0
"version, edition, or translation",human,38224.0,2736.0,722.0,0.0,0.0,0.0
chemical compound,taxon,35173.0,53.0,324.0,0.0,0.0,0.0
architectural structure,architectural structure,34207.0,34207.0,inf,inf,100.0,100.0
album,human,30280.0,2011.0,515.0,0.0,0.0,0.0
painting,painting,29822.0,29822.0,inf,inf,100.0,100.0
chemical compound,chemical compound,28553.0,28553.0,inf,inf,100.0,100.0
human,village,26508.0,353.0,519.0,12.0,0.0,0.0
group of stereoisomers,taxon,25789.0,1.0,138.0,0.0,0.0,0.0
human,human settlement,24503.0,782.0,693.0,2.0,0.0,0.0
street,human,18197.0,1662.0,389.0,0.0,0.0,0.0
business,human,17038.0,13624.0,1286.0,6.0,0.0,0.0
cell line,cell line,16937.0,16937.0,inf,inf,100.0,100.0
primary school,primary school,16357.0,16357.0,inf,inf,100.0,100.0
print,human,13499.0,200.0,229.0,0.0,0.0,0.0
church building,village,13347.0,61.0,522.0,14.0,0.01,0.01
church building,Wikimedia category,12488.0,10773.0,308.0,4.0,0.0,0.0
literary work,"version, edition, or translation",11771.0,8557.0,693.0,1304.0,0.79,0.83
human,Wikimedia disambiguation page,11746.0,2728.0,569.0,18.0,0.0,0.0
position,position,11477.0,11477.0,inf,inf,100.0,100.0
watercourse,river,9409.0,8971.0,263.0,14972.0,8.57,3.75
hill,mountain,8553.0,8470.0,395.0,37102.0,11.34,7.06
house,street,7840.0,76.0,381.0,2.0,0.0,0.0
building,street,7515.0,121.0,479.0,44.0,0.02,0.01
protein,protein,7504.0,7504.0,inf,inf,100.0,100.0
human settlement,Wikimedia category,7433.0,5074.0,348.0,16.0,0.0,0.0
Wikimedia category,position,7294.0,7251.0,276.0,4.0,0.0,0.0
building,village,7024.0,11.0,541.0,20.0,0.01,0.01
sports season,human,7007.0,5448.0,302.0,0.0,0.0,0.0
house,village,6855.0,6.0,405.0,6.0,0.0,0.0
sports season,Wikimedia category,6814.0,6786.0,188.0,0.0,0.0,0.0
building,human,6777.0,2687.0,740.0,0.0,0.0,0.0
calendar day of a given year,Wikimedia category,6461.0,6458.0,50.0,12.0,0.01,0.0
church building,human,6372.0,4844.0,635.0,2.0,0.0,0.0
human,hamlet,6331.0,46.0,266.0,0.0,0.0,0.0
Wikimedia disambiguation page,album,6330.0,4938.0,275.0,0.0,0.0,0.0
clinical trial,scholarly article,6235.0,333.0,98.0,562.0,0.16,0.0
lake,river,6161.0,4251.0,412.0,14.0,0.01,0.0
business,street,6087.0,98.0,426.0,0.0,0.0,0.0
architectural structure,village,6058.0,4.0,480.0,0.0,0.0,0.0
collection,collection,5875.0,5875.0,inf,inf,100.0,100.0
Wikimedia category,business,5472.0,5148.0,411.0,2.0,0.0,0.0
astronomical object,human,5110.0,103.0,410.0,0.0,0.0,0.0
church building,Wikimedia list article,4839.0,25.0,394.0,6.0,0.0,0.0
church building,street,4696.0,361.0,458.0,6.0,0.0,0.0
village,Wikimedia category,4686.0,3911.0,293.0,2.0,0.0,0.0
literary work,scholarly article,4506.0,4125.0,432.0,112.0,0.07,0.0
Wikimedia category,river,4139.0,3952.0,225.0,0.0,0.0,0.0
river,stream,3801.0,3682.0,256.0,2204.0,0.55,1.77
taxon,encyclopedia article,3725.0,2527.0,115.0,0.0,0.0,0.0
hamlet,village,3375.0,2749.0,386.0,5282.0,4.47,1.92
church building,human settlement,3109.0,89.0,624.0,54.0,0.03,0.01
primary school,village,2792.0,3.0,256.0,0.0,0.0,0.0
Wikimedia list article,human,2760.0,1973.0,690.0,14.0,0.0,0.0
"version, edition, or translation",scholarly article,2689.0,2032.0,435.0,640.0,0.41,0.0
film,literary work,2620.0,2268.0,607.0,74.0,0.03,0.04
house,human,2532.0,1023.0,446.0,2.0,0.0,0.0
position,Wikimedia list article,2510.0,2417.0,380.0,330.0,0.27,0.1
mountain,Wikimedia category,2368.0,2089.0,246.0,0.0,0.0,0.0
painting,church building,2271.0,39.0,381.0,0.0,0.0,0.0
human settlement,village,2187.0,2162.0,680.0,2986.0,0.53,1.09
encyclopedia article,biographical article,2159.0,1297.0,84.0,42.0,0.01,0.03
clinical trial,chemical compound,2136.0,1.0,79.0,0.0,0.0,0.0
astronomical object,Wikimedia category,2047.0,2038.0,240.0,0.0,0.0,0.0
primary school,street,2046.0,8.0,248.0,0.0,0.0,0.0
architectural structure,human,2033.0,884.0,601.0,2.0,0.0,0.0
river,encyclopedia article,1977.0,1301.0,101.0,0.0,0.0,0.0
house,Wikimedia list article,1950.0,56.0,308.0,2.0,0.0,0.0
building,Wikimedia list article,1840.0,64.0,437.0,10.0,0.0,0.0
human settlement,Wikimedia list article,1828.0,143.0,464.0,22.0,0.0,0.01
film,Wikimedia disambiguation page,1812.0,387.0,335.0,8.0,0.0,0.0
architectural structure,Wikimedia list article,1782.0,31.0,394.0,12.0,0.01,0.0
island,Wikimedia category,1739.0,1112.0,258.0,2.0,0.0,0.0
Wikimedia category,Wikimedia disambiguation page,1715.0,1597.0,347.0,4.0,0.0,0.0
hamlet,human settlement,1663.0,1590.0,387.0,3120.0,2.64,0.55
street,village,1648.0,20.0,406.0,20.0,0.0,0.01
human,village in India,1622.0,10.0,168.0,0.0,0.0,0.0
film,business,1481.0,119.0,538.0,2.0,0.0,0.0
human,island,1459.0,384.0,485.0,0.0,0.0,0.0
protein,chemical compound,1382.0,839.0,233.0,22.0,0.0,0.0
film,album,1335.0,922.0,484.0,162.0,0.06,0.06
primary school,Wikimedia category,1278.0,1243.0,194.0,0.0,0.0,0.0
item of collection or exhibition,collection,1214.0,0.0,166.0,0.0,0.0,0.0
human settlement,encyclopedia article,1194.0,691.0,119.0,0.0,0.0,0.0
scholarly article,Wikimedia disambiguation page,1184.0,113.0,300.0,0.0,0.0,0.0
item of collection or exhibition,item of collection or exhibition,1179.0,1179.0,inf,inf,100.0,100.0
painting,taxon,1175.0,1.0,282.0,0.0,0.0,0.0
collection,human,1099.0,724.0,507.0,0.0,0.0,0.0
business,human settlement,1082.0,45.0,671.0,6.0,0.0,0.0
building,Wikimedia category,1071.0,823.0,335.0,0.0,0.0,0.0
street,human settlement,1062.0,29.0,450.0,38.0,0.01,0.01
architectural structure,church building,1042.0,1008.0,676.0,2622.0,1.8,1.24
human,primary school,1031.0,631.0,290.0,0.0,0.0,0.0
building,business,997.0,442.0,791.0,116.0,0.04,0.06
astronomical object,scholarly article,973.0,921.0,236.0,2.0,0.0,0.0
human settlement,Wikimedia disambiguation page,934.0,174.0,393.0,16.0,0.0,0.0
scholarly article,gene,930.0,36.0,124.0,0.0,0.0,0.0
clinical trial,human,880.0,2.0,110.0,0.0,0.0,0.0
village,Wikimedia disambiguation page,874.0,81.0,331.0,6.0,0.0,0.0
human,Wikimedia template,855.0,827.0,180.0,0.0,0.0,0.0
family name,Wikimedia category,848.0,846.0,193.0,2.0,0.0,0.0
primary school,human settlement,843.0,1.0,306.0,0.0,0.0,0.0
encyclopedia article,Wikimedia disambiguation page,829.0,441.0,118.0,0.0,0.0,0.0
street,Wikimedia category,823.0,803.0,239.0,0.0,0.0,0.0
mountain,human,816.0,661.0,435.0,4.0,0.0,0.0
architectural structure,street,802.0,58.0,452.0,34.0,0.02,0.01
building,human settlement,733.0,45.0,697.0,48.0,0.02,0.01
literary work,Wikimedia category,730.0,719.0,324.0,0.0,0.0,0.0
human settlement,island,716.0,407.0,642.0,432.0,0.08,0.29
cell line,taxon,706.0,1.0,46.0,0.0,0.0,0.0
clinical trial,business,701.0,0.0,98.0,0.0,0.0,0.0
village,Wikimedia list article,697.0,158.0,386.0,4.0,0.0,0.0
business,village,690.0,21.0,501.0,0.0,0.0,0.0
village-level division in China,village-level division in China,683.0,683.0,inf,inf,100.0,100.0
island,encyclopedia article,671.0,408.0,102.0,0.0,0.0,0.0
house,building,670.0,644.0,662.0,942.0,0.48,0.35
river,mountain,667.0,95.0,418.0,0.0,0.0,0.0
hamlet,Wikimedia category,654.0,579.0,183.0,0.0,0.0,0.0
literary work,Wikimedia disambiguation page,642.0,183.0,385.0,4.0,0.0,0.0
village,encyclopedia article,633.0,538.0,115.0,0.0,0.0,0.0
scholarly article,village,626.0,1.0,253.0,0.0,0.0,0.0
human,river,620.0,199.0,396.0,0.0,0.0,0.0
group of stereoisomers,group of stereoisomers,610.0,610.0,inf,inf,100.0,100.0
human settlement,village-level division in China,603.0,61.0,73.0,60.0,0.01,0.01
church building,hamlet,597.0,10.0,300.0,6.0,0.0,0.01
house,human settlement,577.0,162.0,489.0,14.0,0.01,0.0
literary work,church building,576.0,207.0,399.0,0.0,0.0,0.0
street,taxon,573.0,0.0,244.0,0.0,0.0,0.0
"version, edition, or translation",business,566.0,29.0,544.0,2.0,0.0,0.0
human settlement,river,542.0,284.0,459.0,30.0,0.01,0.01
river,Wikimedia disambiguation page,529.0,56.0,279.0,4.0,0.0,0.0
item of collection or exhibition,human,518.0,26.0,242.0,0.0,0.0,0.0
mountain,island,496.0,480.0,510.0,104.0,0.02,0.07
village,river,495.0,301.0,399.0,12.0,0.0,0.0
hamlet,Wikimedia disambiguation page,493.0,15.0,196.0,0.0,0.0,0.0
architectural structure,Wikimedia category,484.0,423.0,295.0,0.0,0.0,0.0
architectural structure,building,482.0,444.0,821.0,946.0,0.65,0.36
Wikinews article,human,481.0,84.0,228.0,10.0,0.0,0.0
album,business,464.0,27.0,389.0,0.0,0.0,0.0
business,Wikimedia disambiguation page,463.0,205.0,474.0,6.0,0.0,0.0
literary work,business,458.0,25.0,635.0,0.0,0.0,0.0
print,print,449.0,449.0,inf,inf,100.0,100.0
stream,lake,433.0,360.0,240.0,0.0,0.0,0.0
chemical compound,encyclopedia article,420.0,294.0,93.0,0.0,0.0,0.0
Wikimedia list article,sports season,418.0,227.0,233.0,236.0,0.07,0.15
stream,watercourse,414.0,414.0,194.0,566.0,0.45,0.32
church building,island,414.0,3.0,484.0,0.0,0.0,0.0
chemical compound,group of stereoisomers,407.0,127.0,216.0,22.0,0.0,0.02
Wikimedia category,Wikimedia template,399.0,149.0,162.0,48.0,0.0,0.01
architectural structure,house,398.0,293.0,567.0,658.0,0.45,0.33
encyclopedia article,"version, edition, or translation",386.0,307.0,136.0,42.0,0.01,0.03
lake,Wikimedia category,385.0,321.0,223.0,0.0,0.0,0.0
mountain,human settlement,374.0,161.0,562.0,82.0,0.02,0.01
position,encyclopedia article,370.0,213.0,107.0,0.0,0.0,0.0
lake,watercourse,367.0,329.0,246.0,4.0,0.0,0.0
island,lake,357.0,199.0,444.0,0.0,0.0,0.0
mountain,encyclopedia article,348.0,218.0,108.0,0.0,0.0,0.0
architectural structure,human settlement,345.0,32.0,612.0,46.0,0.03,0.01
taxon,Wikimedia disambiguation page,342.0,221.0,384.0,20.0,0.0,0.0
position,human settlement,321.0,182.0,394.0,0.0,0.0,0.0
lake,human,318.0,271.0,380.0,2.0,0.0,0.0
street,river,311.0,5.0,332.0,2.0,0.0,0.0
village,island,311.0,204.0,534.0,144.0,0.05,0.1
lake,encyclopedia article,308.0,218.0,100.0,0.0,0.0,0.0
protein,taxon,302.0,10.0,171.0,0.0,0.0,0.0
Wikinews article,calendar day of a given year,297.0,18.0,43.0,36.0,0.01,0.02
architectural structure,business,296.0,77.0,662.0,16.0,0.01,0.01
painting,street,289.0,7.0,262.0,0.0,0.0,0.0
building,hamlet,286.0,6.0,319.0,2.0,0.0,0.0
scholarly article,business,285.0,39.0,397.0,0.0,0.0,0.0
"version, edition, or translation",album,284.0,81.0,441.0,122.0,0.08,0.05
Wikimedia template,taxon,284.0,276.0,129.0,0.0,0.0,0.0
Wikimedia disambiguation page,Wikimedia list article,278.0,250.0,446.0,294.0,0.02,0.09
Wikimedia category,film,278.0,215.0,286.0,2.0,0.0,0.0
painting,river,276.0,2.0,248.0,0.0,0.0,0.0
astronomical object,encyclopedia article,267.0,147.0,101.0,0.0,0.0,0.0
church building,building,264.0,256.0,832.0,380.0,0.18,0.14
literary work,encyclopedia article,258.0,162.0,139.0,0.0,0.0,0.0
Wikimedia template,sports season,253.0,247.0,114.0,0.0,0.0,0.0
painting,Wikimedia disambiguation page,237.0,51.0,302.0,0.0,0.0,0.0
position,Wikimedia template,236.0,200.0,128.0,0.0,0.0,0.0
scholarly article,island,234.0,0.0,239.0,0.0,0.0,0.0
village in India,human settlement,228.0,117.0,203.0,142.0,0.1,0.03
painting,building,224.0,6.0,393.0,0.0,0.0,0.0
painting,literary work,220.0,115.0,416.0,2.0,0.0,0.0
print,village,219.0,2.0,131.0,0.0,0.0,0.0
island,river,218.0,116.0,430.0,0.0,0.0,0.0
hill,Wikimedia category,217.0,188.0,182.0,0.0,0.0,0.0
Wikimedia list article,album,214.0,51.0,333.0,16.0,0.0,0.01
mountain,Wikimedia disambiguation page,210.0,66.0,293.0,2.0,0.0,0.0
Wikimedia list article,taxon,209.0,47.0,369.0,4.0,0.0,0.0
Wikimedia list article,business,209.0,131.0,558.0,100.0,0.03,0.05
"version, edition, or translation",chemical compound,208.0,12.0,193.0,0.0,0.0,0.0
Wikimedia template,Wikimedia list article,203.0,191.0,176.0,20.0,0.0,0.01
scholarly article,film,202.0,19.0,300.0,0.0,0.0,0.0
astronomical object,taxon,196.0,15.0,313.0,0.0,0.0,0.0
chemical compound,Wikimedia category,195.0,190.0,171.0,0.0,0.0,0.0
village,lake,189.0,182.0,425.0,2.0,0.0,0.0
human settlement,taxon,188.0,104.0,375.0,0.0,0.0,0.0
scholarly article,human settlement,185.0,6.0,283.0,0.0,0.0,0.0
hill,village,181.0,29.0,359.0,16.0,0.0,0.01
scholarly article,family name,177.0,30.0,202.0,2.0,0.0,0.0
hill,island,176.0,46.0,375.0,14.0,0.0,0.01
house,hamlet,175.0,152.0,254.0,0.0,0.0,0.0
"version, edition, or translation",Wikimedia category,172.0,167.0,280.0,2.0,0.0,0.0
scholarly article,album,170.0,0.0,269.0,0.0,0.0,0.0
film,street,163.0,8.0,243.0,0.0,0.0,0.0
film,human settlement,163.0,24.0,356.0,0.0,0.0,0.0
street,mountain,162.0,9.0,360.0,6.0,0.0,0.0
taxon,island,160.0,43.0,320.0,0.0,0.0,0.0
primary school,building,159.0,96.0,360.0,190.0,0.12,0.07
painting,mountain,158.0,6.0,269.0,0.0,0.0,0.0
scholarly article,church building,157.0,5.0,284.0,0.0,0.0,0.0
painting,"version, edition, or translation",155.0,49.0,362.0,14.0,0.0,0.01
human,hill,154.0,96.0,284.0,2.0,0.0,0.0
"version, edition, or translation",film,152.0,74.0,500.0,20.0,0.01,0.01
church building,Wikimedia disambiguation page,151.0,20.0,315.0,0.0,0.0,0.0
scholarly article,river,150.0,0.0,205.0,0.0,0.0,0.0
painting,business,148.0,57.0,442.0,0.0,0.0,0.0
lake,Wikimedia disambiguation page,146.0,12.0,261.0,10.0,0.0,0.0
"version, edition, or translation",Wikimedia disambiguation page,146.0,134.0,325.0,14.0,0.01,0.0
astronomical object,business,145.0,35.0,373.0,2.0,0.0,0.0
