subgraph1,subgraph2,value
taxon,print,136
painting,protein,135
sports season,Wikinews article,135
street,item of collection or exhibition,135
taxon,gene,135
human settlement,Wikimedia template,135
primary school,stream,134
mountain,item of collection or exhibition,134
church building,Wikimedia template,133
island,item of collection or exhibition,133
hamlet,Wikinews article,132
hill,Wikinews article,131
collection,village in India,131
business,encyclopedia article,131
village,print,131
Wikimedia category,village in India,130
lake,item of collection or exhibition,130
astronomical object,protein,130
scholarly article,group of stereoisomers,130
encyclopedia article,Wikimedia list article,129
human settlement,protein,129
mountain,print,129
hamlet,chemical compound,129
literary work,protein,129
Wikinews article,family name,129
taxon,Wikimedia template,129
position,Wikimedia template,128
position,protein,128
river,print,128
human,biographical article,128
Wikimedia disambiguation page,gene,128
literary work,village in India,128
primary school,family name,128
family name,watercourse,127
scholarly article,stream,127
hill,sports season,126
island,print,126
village in India,watercourse,126
album,Wikimedia template,126
street,print,126
album,stream,125
position,village in India,125
human,gene,125
river,item of collection or exhibition,125
encyclopedia article,painting,125
collection,Wikimedia template,125
astronomical object,village in India,124
scholarly article,watercourse,124
astronomical object,Wikimedia template,124
scholarly article,gene,124
Wikimedia list article,protein,124
architectural structure,Wikimedia template,124
building,protein,124
family name,stream,123
village,Wikimedia template,123
church building,encyclopedia article,122
island,Wikimedia template,122
position,item of collection or exhibition,122
sports season,chemical compound,121
architectural structure,protein,121
sports season,family name,121
lake,print,120
painting,village in India,120
film,protein,120
island,protein,120
chemical compound,stream,119
encyclopedia article,film,119
encyclopedia article,human settlement,119
primary school,village in India,119
painting,gene,119
hamlet,sports season,119
taxon,village in India,119
album,watercourse,118
position,print,118
Wikimedia disambiguation page,encyclopedia article,118
chemical compound,Wikimedia template,117
mountain,Wikimedia template,116
"version, edition, or translation",village in India,116
building,encyclopedia article,116
chemical compound,watercourse,116
street,Wikimedia template,116
encyclopedia article,village,115
encyclopedia article,taxon,115
"version, edition, or translation",protein,115
business,gene,115
film,village in India,115
encyclopedia article,collection,114
item of collection or exhibition,family name,114
river,Wikimedia template,114
church building,protein,114
item of collection or exhibition,chemical compound,114
sports season,Wikimedia template,114
village in India,stream,113
encyclopedia article,album,112
primary school,Wikinews article,112
hill,print,111
collection,protein,111
literary work,biographical article,111
Wikimedia category,protein,110
chemical compound,print,110
sports season,item of collection or exhibition,110
human,group of stereoisomers,110
sports season,stream,110
sports season,watercourse,110
village,protein,110
family name,village in India,110
literary work,gene,110
human,clinical trial,110
Wikimedia list article,gene,110
human settlement,gene,109
encyclopedia article,family name,109
family name,print,109
business,biographical article,108
architectural structure,encyclopedia article,108
Wikinews article,chemical compound,108
Wikinews article,village in India,108
lake,Wikimedia template,108
"version, edition, or translation",biographical article,108
encyclopedia article,mountain,108
river,protein,107
encyclopedia article,position,107
hill,item of collection or exhibition,107
mountain,protein,106
primary school,chemical compound,106
Wikinews article,watercourse,106
album,protein,105
street,protein,105
Wikinews article,item of collection or exhibition,105
family name,protein,105
business,group of stereoisomers,105
Wikimedia category,encyclopedia article,104
building,gene,104
Wikinews article,stream,104
scholarly article,biographical article,104
astronomical object,group of stereoisomers,103
primary school,item of collection or exhibition,103
house,Wikimedia template,102
house,protein,102
architectural structure,gene,102
scholarly article,village in India,102
encyclopedia article,island,102
Wikinews article,print,102
album,village in India,101
gene,astronomical object,101
sports season,print,101
encyclopedia article,astronomical object,101
river,encyclopedia article,101
hamlet,print,101
"version, edition, or translation",clinical trial,101
Wikimedia category,gene,100
lake,protein,100
gene,group of stereoisomers,100
clinical trial,literary work,100
encyclopedia article,lake,100
print,stream,100
painting,biographical article,100
sports season,village in India,100
village,gene,100
church building,gene,99
island,gene,99
primary school,print,99
film,gene,99
clinical trial,scholarly article,98
Wikimedia list article,biographical article,98
business,clinical trial,98
encyclopedia article,Wikinews article,98
building,biographical article,98
encyclopedia article,house,98
human settlement,group of stereoisomers,98
hamlet,item of collection or exhibition,98
position,gene,98
encyclopedia article,street,97
church building,biographical article,97
position,group of stereoisomers,97
family name,Wikimedia template,97
film,biographical article,96
"version, edition, or translation",gene,95
Wikimedia disambiguation page,biographical article,95
literary work,group of stereoisomers,95
Wikinews article,Wikimedia template,94
island,group of stereoisomers,94
gene,collection,93
item of collection or exhibition,Wikimedia template,93
encyclopedia article,chemical compound,93
village,biographical article,93
protein,Wikimedia template,92
album,gene,92
gene,mountain,92
human settlement,biographical article,91
item of collection or exhibition,stream,91
print,watercourse,91
gene,lake,91
album,biographical article,91
taxon,biographical article,91
house,gene,91
street,gene,91
Wikimedia list article,group of stereoisomers,90
architectural structure,group of stereoisomers,90
river,gene,90
building,clinical trial,89
hamlet,Wikimedia template,89
hill,protein,89
hill,Wikimedia template,89
primary school,Wikimedia template,89
gene,family name,89
church building,clinical trial,88
human,prime number,88
encyclopedia article,hill,88
hamlet,encyclopedia article,88
village,group of stereoisomers,88
painting,group of stereoisomers,88
item of collection or exhibition,watercourse,88
encyclopedia article,print,88
position,biographical article,87
film,clinical trial,87
film,group of stereoisomers,87
Wikimedia list article,clinical trial,86
business,prime number,86
mountain,group of stereoisomers,86
building,group of stereoisomers,86
group of stereoisomers,family name,85
taxon,prime number,85
gene,Wikimedia template,85
collection,biographical article,85
clinical trial,collection,85
hamlet,protein,84
encyclopedia article,biographical article,84
architectural structure,biographical article,84
Wikimedia disambiguation page,prime number,84
clinical trial,human settlement,84
church building,group of stereoisomers,84
Wikimedia category,biographical article,84
human settlement,prime number,83
river,biographical article,83
building,prime number,83
lake,group of stereoisomers,83
group of stereoisomers,collection,83
"version, edition, or translation",group of stereoisomers,83
Wikimedia template,stream,83
print,Wikimedia template,83
clinical trial,painting,83
river,group of stereoisomers,83
chemical compound,village in India,83
Wikimedia template,watercourse,83
Wikinews article,biographical article,82
mountain,biographical article,82
protein,watercourse,81
encyclopedia article,item of collection or exhibition,81
Wikimedia list article,prime number,81
family name,biographical article,81
astronomical object,prime number,80
primary school,protein,80
astronomical object,biographical article,80
hill,gene,80
clinical trial,astronomical object,80
encyclopedia article,stream,80
protein,stream,80
encyclopedia article,Wikimedia template,80
clinical trial,position,80
literary work,prime number,80
island,prime number,80
island,biographical article,80
Wikimedia category,clinical trial,79
clinical trial,chemical compound,79
sports season,protein,79
street,group of stereoisomers,79
architectural structure,prime number,78
river,prime number,78
encyclopedia article,sports season,78
clinical trial,family name,78
painting,prime number,78
primary school,encyclopedia article,78
hill,group of stereoisomers,77
lake,biographical article,77
clinical trial,house,77
Wikimedia disambiguation page,clinical trial,77
clinical trial,taxon,77
house,group of stereoisomers,77
architectural structure,clinical trial,76
position,prime number,76
item of collection or exhibition,protein,76
house,biographical article,76
chemical compound,biographical article,76
album,group of stereoisomers,76
mountain,prime number,76
clinical trial,album,75
chemical compound,prime number,75
lake,prime number,75
film,prime number,75
hamlet,gene,75
print,village in India,74
village,prime number,74
street,biographical article,74
church building,prime number,74
encyclopedia article,watercourse,73
clinical trial,village,73
village,village-level division in China,73
print,biographical article,73
human settlement,village-level division in China,73
gene,stream,72
island,village-level division in China,72
"version, edition, or translation",prime number,72
clinical trial,island,72
village in India,Wikimedia template,72
gene,watercourse,71
gene,Wikinews article,71
gene,sports season,71
primary school,clinical trial,70
clinical trial,item of collection or exhibition,70
clinical trial,sports season,70
gene,item of collection or exhibition,70
hamlet,biographical article,70
Wikinews article,protein,70
print,protein,70
street,prime number,70
clinical trial,Wikinews article,70
item of collection or exhibition,village in India,70
clinical trial,street,70
primary school,gene,70
mountain,village-level division in China,69
Wikimedia category,group of stereoisomers,69
clinical trial,mountain,69
hill,biographical article,69
group of stereoisomers,stream,69
clinical trial,lake,68
hamlet,group of stereoisomers,68
clinical trial,print,68
group of stereoisomers,watercourse,68
lake,village-level division in China,68
gene,print,68
hamlet,village-level division in China,68
album,prime number,68
Wikimedia category,prime number,68
human,village-level division in China,68
house,prime number,68
hill,prime number,68
business,village-level division in China,67
scholarly article,prime number,67
encyclopedia article,village in India,67
church building,village-level division in China,67
collection,prime number,67
river,village-level division in China,67
item of collection or exhibition,biographical article,67
gene,village in India,67
encyclopedia article,clinical trial,66
hamlet,prime number,66
street,village-level division in China,66
protein,village in India,66
building,village-level division in China,65
Wikimedia template,biographical article,65
Wikimedia disambiguation page,village-level division in China,65
hill,village-level division in China,65
encyclopedia article,protein,65
river,clinical trial,65
family name,prime number,64
village-level division in China,watercourse,63
Wikimedia list article,village-level division in China,63
house,village-level division in China,63
clinical trial,hill,63
village-level division in China,village in India,63
architectural structure,village-level division in China,63
stream,biographical article,62
sports season,biographical article,62
hamlet,clinical trial,62
sports season,prime number,62
Wikimedia category,village-level division in China,61
village-level division in China,stream,61
clinical trial,Wikimedia template,61
astronomical object,village-level division in China,61
group of stereoisomers,print,60
group of stereoisomers,Wikinews article,60
group of stereoisomers,item of collection or exhibition,60
collection,village-level division in China,60
primary school,group of stereoisomers,60
watercourse,biographical article,60
primary school,biographical article,60
taxon,village-level division in China,60
prime number,stream,60
prime number,watercourse,60
sports season,group of stereoisomers,60
clinical trial,stream,59
group of stereoisomers,village in India,57
encyclopedia article,gene,57
literary work,village-level division in China,56
clinical trial,protein,56
Wikinews article,village-level division in China,56
painting,village-level division in China,56
print,prime number,56
clinical trial,watercourse,56
group of stereoisomers,Wikimedia template,56
clinical trial,biographical article,56
protein,biographical article,55
village in India,prime number,55
primary school,village-level division in China,55
primary school,prime number,55
encyclopedia article,group of stereoisomers,55
village-level division in China,family name,55
protein,prime number,55
clinical trial,gene,54
human,calendar day of a given year,54
position,village-level division in China,53
business,calendar day of a given year,53
Wikinews article,prime number,53
clinical trial,village in India,52
gene,prime number,52
Wikimedia list article,calendar day of a given year,52
literary work,calendar day of a given year,52
"version, edition, or translation",calendar day of a given year,51
human settlement,calendar day of a given year,51
village in India,biographical article,51
film,calendar day of a given year,51
item of collection or exhibition,prime number,51
Wikimedia disambiguation page,calendar day of a given year,50
sports season,village-level division in China,50
Wikimedia category,calendar day of a given year,50
"version, edition, or translation",village-level division in China,50
architectural structure,calendar day of a given year,50
street,calendar day of a given year,50
prime number,Wikimedia template,50
clinical trial,group of stereoisomers,49
astronomical object,calendar day of a given year,49
church building,calendar day of a given year,49
taxon,calendar day of a given year,49
album,village-level division in China,49
position,calendar day of a given year,49
gene,biographical article,49
film,village-level division in China,49
scholarly article,village-level division in China,49
Wikimedia disambiguation page,cell line,49
protein,cell line,48
scholarly article,cell line,48
building,calendar day of a given year,48
group of stereoisomers,prime number,48
group of stereoisomers,biographical article,47
island,calendar day of a given year,47
album,calendar day of a given year,47
village,calendar day of a given year,47
chemical compound,cell line,47
river,calendar day of a given year,46
scholarly article,calendar day of a given year,46
taxon,cell line,46
gene,cell line,46
house,calendar day of a given year,45
mountain,calendar day of a given year,45
lake,calendar day of a given year,45
group of stereoisomers,cell line,45
painting,calendar day of a given year,45
collection,calendar day of a given year,45
sports season,calendar day of a given year,45
encyclopedia article,prime number,44
human,cell line,44
village-level division in China,Wikimedia template,44
village-level division in China,print,44
Wikinews article,calendar day of a given year,43
business,cell line,43
chemical compound,village-level division in China,43
encyclopedia article,village-level division in China,42
chemical compound,calendar day of a given year,42
position,cell line,42
Wikimedia list article,cell line,42
family name,cell line,42
family name,calendar day of a given year,42
human settlement,cell line,41
painting,cell line,41
Wikimedia category,cell line,41
island,cell line,41
stream,calendar day of a given year,41
item of collection or exhibition,village-level division in China,41
hill,calendar day of a given year,40
village,cell line,40
print,calendar day of a given year,40
astronomical object,cell line,40
prime number,biographical article,39
collection,cell line,39
literary work,cell line,39
primary school,calendar day of a given year,39
mountain,cell line,39
film,cell line,39
clinical trial,prime number,39
clinical trial,village-level division in China,38
lake,cell line,38
hamlet,calendar day of a given year,38
architectural structure,cell line,38
Wikimedia template,calendar day of a given year,38
church building,cell line,37
cell line,Wikimedia template,37
village in India,calendar day of a given year,37
building,cell line,37
street,cell line,37
"version, edition, or translation",cell line,37
house,cell line,37
album,cell line,37
river,cell line,37
item of collection or exhibition,calendar day of a given year,37
watercourse,calendar day of a given year,37
biographical article,calendar day of a given year,37
village-level division in China,protein,35
gene,village-level division in China,35
protein,calendar day of a given year,35
hamlet,cell line,35
encyclopedia article,calendar day of a given year,35
village-level division in China,biographical article,34
item of collection or exhibition,cell line,34
sports season,cell line,33
print,cell line,33
village-level division in China,prime number,33
clinical trial,calendar day of a given year,33
gene,calendar day of a given year,33
hill,cell line,32
Wikinews article,cell line,32
cell line,watercourse,32
clinical trial,cell line,32
prime number,calendar day of a given year,32
primary school,cell line,32
group of stereoisomers,village-level division in China,32
group of stereoisomers,calendar day of a given year,32
encyclopedia article,cell line,31
cell line,stream,31
village in India,cell line,30
cell line,biographical article,28
cell line,prime number,27
village-level division in China,cell line,25
village-level division in China,calendar day of a given year,24
cell line,calendar day of a given year,23
mountain,branch post office,22
Wikimedia disambiguation page,branch post office,22
human,branch post office,22
business,branch post office,22
river,branch post office,22
lake,branch post office,22
human settlement,branch post office,22
village,branch post office,22
building,branch post office,22
island,branch post office,22
collection,branch post office,22
house,branch post office,22
Wikimedia list article,branch post office,22
church building,branch post office,22
hamlet,branch post office,21
Wikimedia category,branch post office,21
painting,branch post office,21
hill,branch post office,21
literary work,branch post office,21
watercourse,branch post office,21
film,branch post office,21
street,branch post office,21
architectural structure,branch post office,21
position,branch post office,21
"version, edition, or translation",branch post office,21
primary school,branch post office,21
album,branch post office,20
stream,branch post office,20
scholarly article,branch post office,20
print,branch post office,20
astronomical object,branch post office,20
sports season,branch post office,20
item of collection or exhibition,branch post office,19
taxon,branch post office,19
village in India,branch post office,19
Wikinews article,branch post office,19
clinical trial,branch post office,18
family name,branch post office,18
village-level division in China,branch post office,17
Wikimedia template,branch post office,17
chemical compound,branch post office,16
prime number,branch post office,15
encyclopedia article,branch post office,15
gene,branch post office,14
biographical article,branch post office,13
cell line,branch post office,12
protein,branch post office,12
group of stereoisomers,branch post office,12
branch post office,calendar day of a given year,12
